Date,Open,High,Low,Close,Adj Close,Volume
2017-07-22,167.687805,179.107147,166.924255,176.628693,176.628693,475877438
2017-07-23,176.356995,178.325119,167.581589,173.768372,173.768372,499588538
2017-07-24,174.025223,174.921585,170.881088,172.522842,172.522842,331432635
2017-07-25,172.263336,173.073212,150.372391,158.714691,158.714691,841339066
2017-07-26,159.003372,161.829697,149.626663,155.546829,155.546829,547355118
2017-07-27,156.235504,157.039398,154.033371,156.302017,156.302017,300859094
2017-07-28,156.307373,156.744949,146.864212,147.051697,147.051697,428364431
2017-07-29,147.217697,158.896667,136.790527,156.696106,156.696106,627697409
2017-07-30,157.417191,158.791595,149.355820,150.656723,150.656723,453720404
2017-07-31,150.220688,154.482834,147.270996,154.482834,154.482834,431472316
2017-08-01,155.101913,172.389679,155.078415,171.755661,171.755661,1200734717
2017-08-02,171.935165,173.767410,165.015884,166.302734,166.302734,478304866
2017-08-03,166.475113,173.963272,166.443115,171.453995,171.453995,423964866
2017-08-04,171.428131,173.267105,170.315231,171.133865,171.133865,414102781
2017-08-05,170.964325,196.783264,170.273880,196.783264,196.783264,1022631327
2017-08-06,196.715775,207.955353,193.979294,200.526672,200.526672,1136905832
2017-08-07,200.273682,208.816803,196.771942,206.505554,206.505554,717857288
2017-08-08,206.444199,230.070053,204.645233,228.547562,228.547562,1157035028
2017-08-09,229.212158,245.506088,212.707565,227.538055,227.538055,2028116808
2017-08-10,228.255951,236.386261,223.019989,228.030212,228.030212,829855092
2017-08-11,226.953598,237.651993,226.936111,237.386841,237.386841,732899853
2017-08-12,237.268463,244.070404,236.642838,238.721863,238.721863,854392474
2017-08-13,238.541229,238.887100,222.361069,229.262360,229.262360,1053280504
2017-08-14,229.236984,235.715286,228.448547,231.467010,231.467010,666711126
2017-08-15,231.355179,231.707672,217.341263,225.258820,225.258820,817503497
2017-08-16,225.259598,236.119064,221.882294,234.533676,234.533676,750809286
2017-08-17,234.951111,241.462631,233.222000,234.378006,234.378006,707117101
2017-08-18,234.564606,239.025146,227.254288,229.655807,229.655807,727340532
2017-08-19,230.114990,234.377274,222.347153,231.116470,231.116470,668325680
2017-08-20,230.474716,234.191605,226.540268,234.191605,234.191605,444368742
2017-08-21,233.451950,269.301636,230.897232,249.353348,249.353348,1898867941
2017-08-22,248.937729,253.748535,231.263000,245.522980,245.522980,1042352390
2017-08-23,245.898132,252.972839,245.484268,248.003601,248.003601,634218555
2017-08-24,247.948135,255.579788,247.855072,254.463104,254.463104,545221181
2017-08-25,254.852310,261.259705,254.567886,257.617981,257.617981,590134293
2017-08-26,257.676178,260.000763,254.516464,259.144653,259.144653,399084905
2017-08-27,259.513336,269.621796,259.513336,269.621796,269.621796,490870327
2017-08-28,271.288086,273.100616,262.840393,269.070740,269.070740,661032943
2017-08-29,269.239410,289.290253,268.979126,286.849548,286.849548,944149475
2017-08-30,285.925537,301.191589,279.924988,292.990387,292.990387,1032141148
2017-08-31,292.956360,299.774078,291.431000,296.082550,296.082550,545917922
2017-09-01,296.411072,300.496155,296.388153,299.344543,299.344543,674918564
2017-09-02,299.408630,300.589050,253.296539,269.423309,269.423309,1145371728
2017-09-03,270.384460,282.936005,256.490387,268.037659,268.037659,760772897
2017-09-04,267.766876,267.766876,216.085678,228.425156,228.425156,1394281058
2017-09-05,230.279358,244.322403,207.602722,240.021484,240.021484,1189455509
2017-09-06,240.645706,256.580536,240.461761,256.295898,256.295898,811674983
2017-09-07,255.668076,255.707291,245.276749,251.414185,251.414185,548442341
2017-09-08,251.572906,251.592117,216.077148,224.670013,224.670013,832598342
2017-09-09,224.421463,227.241791,217.640381,223.084793,223.084793,400561485
2017-09-10,222.826401,223.594025,203.813736,218.814041,218.814041,529195222
2017-09-11,219.570328,228.139603,217.564697,223.655563,223.655563,433827175
2017-09-12,223.729980,235.914642,216.042114,219.360275,219.360275,566827726
2017-09-13,219.102890,219.102890,196.316376,209.837952,209.837952,697934296
2017-09-14,209.440414,212.564331,159.680511,159.680511,159.680511,884286318
2017-09-15,160.660645,190.341446,143.682785,184.313782,184.313782,1424460937
2017-09-16,184.609604,193.239380,175.305771,181.412903,181.412903,523759676
2017-09-17,180.917648,189.120621,173.110611,185.450455,185.450455,314881767
2017-09-18,185.802582,217.196045,185.829956,217.196045,217.196045,834566725
2017-09-19,217.313705,218.779495,202.735809,209.267410,209.267410,478695421
2017-09-20,208.683594,214.533508,205.733643,210.366257,210.366257,312428825
2017-09-21,210.011124,212.287964,187.815582,190.440414,190.440414,442823673
2017-09-22,190.097229,199.234116,188.853821,195.915787,195.915787,318791039
2017-09-23,196.130005,212.117706,193.551254,212.117706,212.117706,334248029
2017-09-24,212.151794,217.143280,206.161133,209.215668,209.215668,423204716
2017-09-25,209.019394,217.967484,208.472748,216.943970,216.943970,358561033
2017-09-26,216.954361,217.996292,213.954514,213.867554,213.867554,257292404
2017-09-27,213.556534,229.947754,213.344254,228.775009,228.775009,410752439
2017-09-28,228.778000,229.680740,219.811035,222.767883,222.767883,373738935
2017-09-29,222.741821,223.457016,208.599030,217.577637,217.577637,404131812
2017-09-30,217.585098,226.906525,217.312637,225.041061,225.041061,248162890
2017-10-01,225.102264,226.415497,220.260529,225.759415,225.759415,228632759
2017-10-02,225.867676,226.262329,221.807098,224.120392,224.120392,255739477
